 BankID , BANK_NAME                                                                 ,BANK CODE, IMPS_Status , NEFT_Status ,VERIFICATION
112, Nashik Merchants Co-Op Bank                                               , NMCB      , Disabled    , Enabled     , Off                    
113, UBS AG Bank                                                               , UBSW      , Disabled    , Enabled     , Off                    
114, United Bank of India                                                      , UTBI      , Enabled     , Enabled     , On                     
115, Kangra Co-Op Bank                                                         , KANG      , Disabled    , Enabled     , Off                    
116, Kangra Central Co-Op Bank                                                 , KACE      , Enabled     , Enabled     , On                     
117, Prathama Bank                                                             , PRTH      , Enabled     , Enabled     , On                     
119, Chaitanya Godavari Grameena Bank                                          , ACGG      , Enabled     , Enabled     , On                     
120, Allahabad UP Gramin Bank                                                  , ALLG      , Disabled    , Disabled    , On                     
121, Rushikulya Gramin Bank                                                    , ANDG      , Disabled    , Enabled     , Off                    
122, Sharda Gramin Bank                                                        , ASGB      , Disabled    , Enabled     , Off                    
123, Nainital Almora Kshetriya Gramin Bank                                     , BARG      , Disabled    , Enabled     , Off                    
124, Baroda Rajasthan Gramin Bank                                              , BARR      , Enabled     , Enabled     , On                     
125, Baroda Uttar Pradesh Gramin Bank                                          , BARU      , Enabled     , Enabled     , On                     
126, Baroda Gujarat Gramin Bank                                                , BGGB      , Enabled     , Enabled     , On                     
127, Jhabua Dhar Kshetriya Gramin Bank                                         , BJDG      , Disabled    , Enabled     , Off                    
128, Dena Gujarat Gramin Bank                                                  , BKDD      , Enabled     , Enabled     , Off                    
129, Durg Rajnandgaon Gramin Bank                                              , BKDR      , Disabled    , Enabled     , Off                    
130, Baitarani Gramin Bank                                                     , BKIB      , Disabled    , Enabled     , Off                    
131, Aryavart Gramin Bank                                                      , BKIG      , Disabled    , Enabled     , Off                    
133, Wainganga Krishna Gramin Bank                                             , BWKG      , Disabled    , Enabled     , Off                    
134, Uttar Bihar Gramin Bank                                                   , CBBB      , Disabled    , Enabled     , Off                    
135, Ballia Etawah Gramin Bank                                                 , CBIG      , Disabled    , Enabled     , Off                    
136, Hadoti Kshetriya Gramin Bank                                              , CBIH      , Disabled    , Enabled     , Off                    
137, Surguja Kshetriya Gramin Bank                                             , CKGB      , Disabled    , Enabled     , Off                    
138, South Malabar Gramin Bank                                                 , CMGB      , Disabled    , Enabled     , Off                    
139, Chickmangalur Kodagu Gramin Bank                                          , CORG      , Disabled    , Enabled     , Off                    
140, Pragathi Gramin Bank                                                      , CPGB      , Disabled    , Enabled     , Off                    
141, Shreyas Gramin Bank                                                       , CSGB      , Disabled    , Enabled     , Off                    
142, Satpura Narmada Kshetriya Gramin Bank                                     , CSUG      , Disabled    , Enabled     , Off                    
143, Uttar Banga Kshetriya Gramin Bank                                         , CUKG      , Disabled    , Enabled     , Off                    
144, Vidharbha Kshetriya Gramin Bank                                           , CVAG      , Disabled    , Enabled     , Off                    
145, Madhya Bharat Gramin Bank                                                 , FBIG      , Disabled    , Enabled     , Off                    
146, Gurgaon Gramin Bank                                                       , GGBK      , Disabled    , Enabled     , Off                    
147, Malwa Gramin Bank                                                         , HDFG      , Disabled    , Enabled     , Off                    
148, Mewar Anchalik Gramin Bank                                                , ICIG      , Disabled    , Enabled     , Off                    
149, Pallavan Grama Bank                                                       , IDIG      , Disabled    , Enabled     , Off                    
150, Neelachal Gramya Bank                                                     , INGB      , Disabled    , Enabled     , Off                    
151, Pandyan Gramin Bank                                                       , IOBG      , Enabled     , Enabled     , Off                    
152, Puduvai Bharathiar Grama Bank                                             , IPBG      , Disabled    , Enabled     , Off                    
153, J&K Grameen Bank                                                          , JAKG      , Enabled     , Enabled     , On                     
154, Maharashtra Gramin Bank                                                   , MAHG      , Enabled     , Enabled     , On                     
156, Rajasthan Gramin Bank                                                     , PRGB      , Disabled    , Enabled     , Off                    
157, Sarva UP Gramin Bank                                                      , PSGB      , Enabled     , Enabled     , On                     
158, Sutlej Gramin Bank                                                        , PSIG      , Enabled     , Enabled     , On                     
159, Himachal Gramin Bank                                                      , PUHG      , Enabled     , Enabled     , Off                    
160, Madhya Bihar Gramin Bank                                                  , PUNG      , Enabled     , Enabled     , On                     
161, Sarva Haryana Gramin Bank                                                 , PUNH      , Enabled     , Enabled     , On                     
162, Andhra Pradesh Grameena Vikas Bank                                        , APGV      , Enabled     , Enabled     , On                     
163, Arunachal Pradesh Rural Bank                                              , SBAP      , Enabled     , Enabled     , On                     
164, MG Baroda Gramin Bank                                                     , SBBG      , Disabled    , Enabled     , Off                    
165, Telangana Grameena Bank                                                   , SBHG      , Enabled     , Enabled     , On                     
166, Chhattisgarh Gramin Bank                                                  , SBIC      , Enabled     , Enabled     , On                     
167, Ellaqui Dehati Bank                                                       , SBIE      , Enabled     , Enabled     , Off                    
168, Mizoram Rural Bank                                                        , SBIG      , Enabled     , Enabled     , On                     
169, Jharkhand Gramin Bank                                                     , SBIJ      , Disabled    , Enabled     , Off                    
170, Kaveri Grameena Bank                                                      , SBMG      , Enabled     , Enabled     , On                     
171, Vidisha Bhopal Kshetriya Gramin Bank                                      , SBOG      , Disabled    , Enabled     , Off                    
172, Krishna Gramin Bank                                                       , SKRG      , Disabled    , Enabled     , Off                    
173, Langpi Dehangi Rural Bank                                                 , SLDR      , Enabled     , Enabled     , On                     
174, Meghalaya Rural Bank                                                      , SMEG      , Enabled     , Enabled     , On                     
176, Parvatiya Gramin Bank                                                     , SPGB      , Disabled    , Enabled     , Off                    
177, Purvanchal Gramin Bank                                                    , SRGB      , Enabled     , Enabled     , On                     
179, Saurashtra Gramin Bank                                                    , SSGB      , Enabled     , Enabled     , On                     
180, Samastipur Kshetriya Gramin Bank                                          , SSKG      , Disabled    , Enabled     , Off                    
181, Uttarakhand Gramin Bank                                                   , SUTG      , Enabled     , Enabled     , On                     
182, Utkal Gramya Bank                                                         , SUUG      , Enabled     , Enabled     , On                     
184, Karnataka Vikas Grameena Bank                                             , KVGB      , Enabled     , Enabled     , On                     
185, Andhra Pragathi Grameena Bank                                             , APGB      , Enabled     , Enabled     , On                     
186, North Malabar Gramin Bank                                                 , SYNM      , Disabled    , Enabled     , Off                    
187, Assam Gramin Vikash Bank                                                  , UASG      , Enabled     , Enabled     , Off                    
188, Kashi Gomati Samyut Gramin Bank                                           , UBKG      , Enabled     , Enabled     , On                     
189, Mahakaushal Kshetriya Gramin Bank                                         , UCBG      , Disabled    , Enabled     , Off                    
190, Bihar Kshetriya Gramin Bank                                               , UCBK      , Enabled     , Enabled     , On                     
191, Kalinga Gramya Bank                                                       , UCKG      , Disabled    , Enabled     , Off                    
192, Jaipur Thar Gramin Bank                                                   , UJTG      , Disabled    , Enabled     , Off                    
193, Paschim Banga Gramin Bank                                                 , UPBG      , Enabled     , Enabled     , Off                    
194, Rewa Sidhi Gramin Bank                                                    , URSG      , Disabled    , Enabled     , Off                    
195, Bangiya Gramin Bank                                                       , UTBB      , Disabled    , Enabled     , Off                    
196, Manipur Rural Bank                                                        , UTBG      , Enabled     , Enabled     , Off                    
197, Tripura Gramin Bank                                                       , UTGB      , Enabled     , Enabled     , Off                    
198, Visveshwaraya Gramin Bank                                                 , VIJG      , Disabled    , Enabled     , Off                    
199, Swarna Bharat Trust Cyber Grameen                                         , SBCG      , Disabled    , Enabled     , Off                    
200, Neft Malwa Gramin Bank                                                    , NMGB      , Disabled    , Enabled     , Off                    
201, ABN Amro Bank Credit Card                                                 , ABCC      , Disabled    , Enabled     , Off                    
202, Barclays Credit Card                                                      , BACC      , Disabled    , Enabled     , Off                    
203, Citibank Credit Card                                                      , CICC      , Disabled    , Enabled     , Off                    
204, HDFC Bank Credit Card                                                     , HDCC      , Disabled    , Enabled     , Off                    
205, HSBC Credit Card                                                          , HSCC      , Disabled    , Enabled     , Off                    
206, ICICI Bank Credit Card                                                    , ICCC      , Disabled    , Enabled     , Off                    
207, Kotak Mahindra Credit Card                                                , KKCC      , Disabled    , Enabled     , Off                    
208, State Bank of India Credit Card                                           , SBCC      , Disabled    , Enabled     , Off                    
209, Standard Chartered Credit Card                                            , SCCC      , Disabled    , Enabled     , Off                    
210, UTI Axis Bank Credit Card                                                 , UTCC      , Disabled    , Enabled     , Off                    
211, Vijaya Credit Card                                                        , VICC      , Disabled    , Enabled     , Off                    
212, American Express Credit Card                                              , AMEX      , Disabled    , Enabled     , Off                    
213, Janaseva Sahakari Bank                                                    , JANA      , Enabled     , Enabled     , On                     
214, Kallappanna Awade Ichalkaranji Janata Sahkari Bank                        , KAIJ      , Enabled     , Enabled     , On                     
215, Pandharpur Merchant Co-Op Bank                                            , ICIP      , Enabled     , Enabled     , On                     
216, The Gayatri Co Operative Urban Bank Ltd                                   , HDGB      , Enabled     , Enabled     , On                     
217, Pochampally Co-Op Urban Bank                                              , HDFP      , Enabled     , Enabled     , On                     
218, Dr Annasaheb Chougule Urban Co-Op Bank                                    , HDFA      , Enabled     , Enabled     , On                     
219, Surat District Co-Op Bank                                                 , SDCB      , Enabled     , Enabled     , On                     
220, Suco Souharda Sahakari Bank                                               , HDFS      , Enabled     , Enabled     , On                     
221, Pune Peoples Co-Op Bank                                                   , IBKP      , Enabled     , Enabled     , On                     
222, Shri Arihant Co-Op Bank                                                   , ICSA      , Enabled     , Enabled     , On                     
223, The National Co-Op Bank Ltd                                               , KKBN      , Enabled     , Enabled     , On                     
224, Parshwanath Co-Op Bank                                                    , HDPA      , Enabled     , Enabled     , On                     
225, Apna Sahakari Bank                                                        , ASBL      , Enabled     , Enabled     , On                     
226, Jalore Nagrik Sahakari Bank                                               , HDJC      , Enabled     , Enabled     , On                     
227, Varachha Co-Op Bank                                                       , VARA      , Enabled     , Enabled     , On                     
228, Janata Co-Op Bank Malegaon                                                , HDFJ      , Enabled     , Enabled     , On                     
229, Shri Basaveshwar Sahakari Bank Niyamit Bagalkot                           , ICIS      , Enabled     , Enabled     , On                     
230, Shirpur Peoples Co-Op Bank                                                , KKBS      , Enabled     , Enabled     , On                     
231, Bhartiya Mahila Bank                                                      , NULL      , Enabled     , Enabled     , On                     
232, Kerala Gramin Bank                                                        , KLGB      , Enabled     , Enabled     , On                     
233, Pragathi Krishna Gramin Bank                                              , PKGB      , Enabled     , Enabled     , On                     
234, Yadagiri Lakshmi Narasimha Swamy Co-Op Urban Bank                         , YESP      , Enabled     , Enabled     , On                     
235, Hutatma Sahakari Bank                                                     , ICIH      , Enabled     , Enabled     , On                     
236, Himachal Pradesh State Co-Op Bank                                         , HPSC      , Enabled     , Enabled     , On                     
237, Adarsh Urban Co-Op Bank Hyderabad                                         , ICIA      , Enabled     , Enabled     , On                     
238, Mayani Urban Co-Op Bank                                                   , ICIM      , Enabled     , Enabled     , On                     
239, Pandharpur Urban Co-Op Bank                                               , ICPU      , Enabled     , Enabled     , On                     
240, Vananchal Gramin Bank                                                     , SVAG      , Enabled     , Enabled     , On                     
241, Punjab Gramin Bank                                                        , PPGB      , Enabled     , Enabled     , Off                    
242, Shri Veershaiv Co-Op Bank Ltd                                             , SVSH      , Enabled     , Enabled     , On                     
243, Thrissur District Central Co-Op Bank                                      , TDCB      , Enabled     , Enabled     , On                     
244, Vishweshwar Sahakari Bank Ltd                                             , VSBL      , Enabled     , Enabled     , On                     
245, Raipur Urban Mercantile Co-Op Bank                                        , HDRU      , Enabled     , Enabled     , On                     
246, Zila Sahkari Bank                                                         , ICZS      , Disabled    , Enabled     , Off                    
247, Titwala                                                                   , SBIT      , Disabled    , Enabled     , Off                    
248, Dombivli East                                                             , SBDO      , Disabled    , Enabled     , Off                    
250, MGCB Main                                                                 , WBMG      , Disabled    , Enabled     , Off                    
251, Sindhudurg District Central Co-Op Bank                                    , HDSI      , Enabled     , Enabled     , On                     
252, Hamirpur District Co-Op Bank Mahoba                                       , ICMA      , Disabled    , Enabled     , Off                    
253, Shivalik Mercantile Co-Op Bank                                            , SMCB      , Enabled     , Enabled     , On                     
254, Hasti Co-Op Bank                                                          , HCBL      , Enabled     , Enabled     , On                     
255, Rajgurunagar Sahakari Bank                                                , RSBL      , Enabled     , Enabled     , On                     
256, Bandhan Bank                                                              , BDBL      , Enabled     , Enabled     , On                     
257, Dapoli Urban Co-Op Bank                                                   , IBDU      , Disabled    , Enabled     , Off                    
258, Gujarat State Co-Op Bank                                                  , GSCB      , Enabled     , Enabled     , On                     
259, Municipal Co-Op Bank                                                      , MUBL      , Enabled     , Enabled     , On                     
260, Rajapur Urban Co-Op Bank                                                  , ICRU      , Enabled     , Enabled     , On                     
261, Ahmedabad District Central Co-Op Bank                                     , GSAD      , Enabled     , Enabled     , On                     
262, IDFC Bank                                                                 , IDFB      , Enabled     , Enabled     , On                     
263, Rajasthan Marudhara Gramin Bank                                           , SBRM      , Enabled     , Enabled     , On                     
264, Suvarnayug Sahakari Bank                                                  , SUSB      , Enabled     , Enabled     , On                     
265, Sutex Co-Op Bank                                                          , SUTB      , Enabled     , Enabled     , On                     
266, Nagar Sahkari Bank                                                        , NASB      , Disabled    , Enabled     , Off                    
267, Irinjalakuda Town Co-Op Bank                                              , IRTO      , Enabled     , Enabled     , On                     
268, Shivajirao Bhosale Sahakari Bank                                          , SHBH      , Enabled     , Enabled     , On                     
269, Thane Bharat Sahakari Bank                                                , TBSB      , Enabled     , Enabled     , On                     
270, Maratha Co-Op Bank                                                        , MCOB      , Enabled     , Enabled     , On                     
271, Pithoragarh Jila Sahkari Bank                                             , IBJS      , Enabled     , Enabled     , On                     
272, Pune Cantonment Sahakari Bank                                             , PCSB      , Enabled     , Enabled     , On                     
273, Uttarakhand Gramin Bank                                                   , UTTB      , Enabled     , Enabled     , On                     
274, The Malad Sahakari Bank Ltd                                               , MASB      , Enabled     , Enabled     , On                     
275, Shree Mahalaxmi Co-Op Bank                                                , SML       , Enabled     , Enabled     , On                     
276, Moradabad Zila Sahkari Bank                                               , MZSB      , Disabled    , Enabled     , Off                    
277, Siwan Central Co-Op Bank                                                  , SCCB      , Enabled     , Enabled     , Off                    
278, Madhyanchal Gramin Bank                                                   , MGBS      , Enabled     , Enabled     , On                     
279, Triveni Kshetriya Gramin Bank                                             , TKGB      , Disabled    , Enabled     , Off                    
280, The Ratnakar Bank Credit Card                                             , RBCC      , Disabled    , Enabled     , Off                    
281, Punjab National Bank Credit Card                                          , PBCC      , Disabled    , Enabled     , Off                    
283, IndusInd Bank Credit Card                                                 , IBCC      , Disabled    , Enabled     , Off                    
284, Canara Bank Credit Card                                                   , CBCC      , Disabled    , Enabled     , Off                    
285, IDBI Bank Credit Card                                                     , IDCC      , Disabled    , Enabled     , Off                    
286, Andhra Bank Credit Card                                                   , ANCC      , Disabled    , Enabled     , Off                    
287, Bank Of India Credit Card                                                 , BKCC      , Disabled    , Enabled     , Off                    
288, Bank Of Baroda Credit Card                                                , BABC      , Disabled    , Enabled     , Off                    
289, Odisha Gramya Bank                                                        , IOGB      , Enabled     , Enabled     , On                     
290, The Udaipur Mahila Samridhi Urban Co-Op Bank Ltd                          , UMSC      , Enabled     , Enabled     , On                     
291, Delhi State Co-Op Bank                                                    , DSCB      , Disabled    , Enabled     , Off                    
292, Citizen Co-Op Bank Noida                                                  , COBL      , Enabled     , Enabled     , On                     
293, Chikhli Urban Co-Op Bank                                                  , CUCB      , Enabled     , Enabled     , On                     
294, Poornawadi Nagrik Sahakari Bank                                           , PNSB      , Enabled     , Enabled     , On                     
295, Ahmednagar Mer Co-Op Bank                                                 , AGBL      , Enabled     , Enabled     , On                     
296, Pavana Sahakari Bank                                                      , PSBL      , Enabled     , Enabled     , On                     
297, Fingrowth Co-Op Bank Ltd                                                  , UCBL      , Enabled     , Enabled     , On                     
298, Airtel Payments Bank                                                      , AIRP      , Enabled     , Enabled     , On                     
299, Jalgaon Peoples Co-Op Bank                                                , JPCB      , Enabled     , Enabled     , On                     
300, Vasai Vikas Co-Op Bank                                                    , VVSB      , Enabled     , Enabled     , On                     
301, Equitas Small Finance Bank                                                , ESFB      , Enabled     , Enabled     , On                     
302, Noble Co-Op Bank                                                          , NCBL      , Enabled     , Enabled     , On                     
303, Jalaun District Co-Op Bank                                                , JDCB      , Disabled    , Enabled     , Off                    
304, Vaidyanath Urban Co-Op Bank                                               , VUCB      , Disabled    , Enabled     , Off                    
305, Sapthagiri Grameena Bank                                                  , SGCB      , Disabled    , Enabled     , Off                    
306, Ambarnath Jai Hind Co-Op Bank                                             , AJHB      , Enabled     , Enabled     , On                     
307, Seva Vikas Co-Op Bank                                                     , SVBL      , Disabled    , Enabled     , Off                    
308, Pachora Peoples Co-Op Bank                                                , PPCB      , Disabled    , Enabled     , Off                    
309, India Post Payments Bank, IPOS      , Enabled     , Enabled     , On                     
310, Bombay Mercantile Co-Op Bank                                              , BMCL      , Disabled    , Enabled     , Off                    
311, Malda District Central Co-Op Bank                                         , MDCB      , Disabled    , Enabled     , Off                    
312, Ujjivan Small Finance Bank                                                , UJVN      , Enabled     , Enabled     , On                     
313, Jamia Co-Op Bank                                                          , JCBL      , Disabled    , Enabled     , Off                    
314, Integral Urban Co-Op Bank                                                 , IUCB      , Enabled     , Enabled     , Off                    
315, ESAF Small Finance Bank                                                   , ESMF      , Enabled     , Enabled     , On                     
316, Mogaveera Co-Op Bank                                                      , MGCB      , Disabled    , Enabled     , Off                    
317, Akhand Anand Co-Op Bank                                                   , AACB      , Enabled     , Enabled     , On                     
318, Sardar Bhiladwala Pardi Peoples Co-Op Bank                                , SBPP      , Enabled     , Enabled     , On                     
319, Manvi Pattana Souharda Sahakari Bank                                      , MPSS      , Enabled     , Enabled     , On                     
320, Shree Sharada Sahakari Bank                                               , SSSB      , Enabled     , Enabled     , On                     
321, Aircel Smart Money                                                        , ASML      , Enabled     , Enabled     , On                     
322, Mumbai District Central Co-Op Bank                                        , DCCL      , Enabled     , Enabled     , Off                    
323, The Thane District Central Co-Op Bank                                     , TCCB      , Disabled    , Enabled     , Off                    
324, Zoroastrian Co-Op Bank                                                    , ZCBL      , Disabled    , Enabled     , Off                    
325, Saurashtra Co-Op Bank                                                     , SSCB      , Enabled     , Enabled     , Off                    
326, Kurmanchal Nagar Sahkari Bank                                             , KNSB      , Disabled    , Enabled     , Off                    
327, Suryoday Small Finance Bank                                               , SURY      , Enabled     , Enabled     , On                     
328, Akola Janata Commercial Co-Op Bank                                        , AKJB      , Enabled     , Enabled     , On                     
329, Sahebrao Deshmukh Co-Op Bank                                              , SAHE      , Disabled    , Enabled     , Off                    
330, Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank                          , CRUB      , Disabled    , Enabled     , Off                    
331, Akola District Central Co-Op Bank                                         , ADCC      , Enabled     , Enabled     , On                     
332, Hindusthan Co-Op Bank                                                     , THCB      , Enabled     , Enabled     , Off                    
333, Sadhana Sahakari Bank                                                     , SSBL      , Enabled     , Enabled     , On                     
334, Sabarkantha District Central Co-Op Bank                                   , SDCC      , Enabled     , Enabled     , On                     
335, Sharad Sahakari Bank Manchar                                              , SSBM      , Disabled    , Enabled     , Off                    
336, Udaipur Urban Co-Op Bank                                                  , UUCB      , Enabled     , Enabled     , On                     
337, Vikas Souharda Co-Op Bank                                                 , VSCB      , Enabled     , Enabled     , On                     
338, Priyadarshani Nagari Sahakari Bank                                        , PNSL      , Enabled     , Enabled     , On                     
339, Kaira District Central Co-Op Bank                                         , KAIB      , Disabled    , Enabled     , Off                    
340, Murshidabad District Central Co-Op Bank                                   , MCCB      , Disabled    , Enabled     , Off                    
341, Kottayam Co-Op Urban Bank                                                 , KCUB      , Enabled     , Enabled     , On                     
